278.txt,DEU
666.txt,ZHO
733.txt,TEL
1612.txt,SPA
2024.txt,DEU
3323.txt,ZHO
3668.txt,FRA
4519.txt,SPA
4837.txt,JPN
5308.txt,KOR
5497.txt,ITA
6324.txt,TEL
6767.txt,KOR
7406.txt,TEL
7748.txt,TUR
7965.txt,JPN
7998.txt,TUR
8677.txt,JPN
8817.txt,FRA
8966.txt,ZHO
9006.txt,JPN
9443.txt,HIN
9928.txt,JPN
10017.txt,JPN
10215.txt,TEL
10641.txt,ARA
10670.txt,ZHO
11347.txt,HIN
11632.txt,DEU
11923.txt,TUR
12015.txt,DEU
12072.txt,FRA
12779.txt,TUR
13148.txt,DEU
13940.txt,KOR
14157.txt,FRA
14163.txt,TEL
14288.txt,ITA
14382.txt,ARA
16038.txt,SPA
17339.txt,DEU
17845.txt,TUR
18443.txt,ARA
18553.txt,KOR
18589.txt,TUR
18618.txt,DEU
18772.txt,ZHO
18970.txt,FRA
19280.txt,DEU
20063.txt,ARA
21007.txt,TEL
21310.txt,DEU
21595.txt,SPA
21598.txt,ARA
22056.txt,SPA
22597.txt,DEU
23292.txt,ARA
23897.txt,DEU
23976.txt,KOR
24202.txt,ZHO
24312.txt,ZHO
24427.txt,ZHO
25431.txt,TUR
25867.txt,TUR
26027.txt,TEL
26125.txt,ZHO
26388.txt,KOR
26720.txt,ARA
26917.txt,KOR
27234.txt,JPN
27527.txt,JPN
28471.txt,ITA
28557.txt,HIN
28610.txt,ITA
28789.txt,TUR
28841.txt,ARA
29397.txt,ZHO
29470.txt,TEL
29693.txt,SPA
29789.txt,FRA
30668.txt,TEL
31117.txt,JPN
31135.txt,JPN
31650.txt,FRA
32629.txt,FRA
33102.txt,ZHO
33745.txt,ITA
33973.txt,KOR
34393.txt,ZHO
34566.txt,FRA
35061.txt,ARA
35220.txt,FRA
35420.txt,ZHO
35820.txt,KOR
35950.txt,SPA
36300.txt,ZHO
36413.txt,TEL
36663.txt,ARA
36833.txt,TEL
37807.txt,ZHO
38221.txt,JPN
38979.txt,ITA
38980.txt,KOR
39030.txt,ITA
40378.txt,JPN
41419.txt,ARA
42310.txt,ITA
42592.txt,ITA
42600.txt,ZHO
43322.txt,JPN
43558.txt,ZHO
43677.txt,ARA
43685.txt,JPN
44062.txt,TEL
44162.txt,KOR
44804.txt,JPN
44844.txt,KOR
44961.txt,SPA
45134.txt,ITA
45347.txt,TEL
45353.txt,KOR
45595.txt,ARA
46209.txt,FRA
46344.txt,TUR
46596.txt,KOR
46768.txt,ARA
46827.txt,ZHO
46849.txt,SPA
48984.txt,SPA
49636.txt,ARA
50082.txt,ZHO
50865.txt,ITA
51386.txt,TEL
51757.txt,ITA
51759.txt,KOR
52674.txt,ZHO
53993.txt,TUR
54026.txt,TEL
54118.txt,FRA
54162.txt,TEL
54191.txt,TUR
54260.txt,TUR
54482.txt,ITA
54719.txt,KOR
54915.txt,JPN
54939.txt,TUR
55034.txt,HIN
55857.txt,KOR
55923.txt,FRA
55925.txt,SPA
56282.txt,ITA
56736.txt,ITA
57409.txt,TUR
57433.txt,ARA
57452.txt,FRA
